,HDPE spectra,
Raman shift [1/cm],Counts/sec,
3408.433,19.497,
3407.469,17.898368,
3406.505,16.592809,
3405.540,15.363764,
3404.576,14.429128,
3403.612,13.228564,
3402.648,11.97066,
3401.683,11.561311,
3400.719,11.56,
3399.755,12.421246,
3398.791,13.595658,
3397.826,14.543738,
3396.862,14.820886,
3395.898,13.537926,
3394.934,12.489198,
3393.969,12.844578,
3393.005,12.386252,
3392.041,10.475126,
3391.077,11.028829,
3390.113,13.009804,
3389.148,11.684912,
3388.184,8.9495572,
3387.220,8.0862627,
3386.256,8.3094411,
3385.291,7.7096789,
3384.327,7.4393922,
3383.363,9.1598294,
3382.399,10.763796,
3381.434,10.438638,
3380.470,9.505247,
3379.506,8.2217004,
3378.542,8.3143136,
3377.578,9.7718415,
3376.613,10.738404,
3375.649,10.871982,
3374.685,10.096502,
3373.721,8.6820927,
3372.756,8.9124263,
3371.792,9.8627436,
3370.828,9.7619608,
3369.864,9.1119947,
3368.899,7.3873256,
3367.935,5.9609809,
3366.971,6.1701332,
3366.007,6.6017405,
3365.042,6.3176233,
3364.078,6.4649196,
3363.114,7.2096548,
3362.150,8.1163687,
3361.186,9.4587629,
3360.221,9.1975783,
3359.257,8.1024172,
3358.293,7.4596455,
3357.329,7.2696953,
3356.364,8.1721716,
3355.400,8.717217,
3354.436,6.4411754,
3353.472,4.2535637,
3352.507,5.3024909,
3351.543,6.365097,
3350.579,5.6147094,
3349.615,6.4880419,
3348.651,9.1980518,
3347.686,9.3530053,
3346.722,7.8752876,
3345.758,8.0031352,
3344.794,9.5006606,
3343.829,9.9289793,
3342.865,8.9357628,
3341.901,7.1288545,
3340.937,5.5577463,
3339.972,6.7596018,
3339.008,8.3326677,
3338.044,8.367757,
3337.080,7.8439226,
3336.115,7.1779041,
3335.151,6.7268433,
3334.187,6.6321052,
3333.223,7.2418541,
3332.259,8.5332906,
3331.294,8.0850037,
3330.330,5.6352728,
3329.366,5.4952821,
3328.402,6.8072054,
3327.437,7.5875509,
3326.473,7.8559114,
3325.509,6.8612824,
3324.545,5.4460062,
3323.580,5.2991159,
3322.616,5.7373948,
3321.652,5.3934056,
3320.688,5.7373917,
3319.724,7.9190766,
3318.759,8.8092606,
3317.795,7.5559524,
3316.831,6.064793,
3315.867,4.3911023,
3314.902,3.0953634,
3313.938,2.6094257,
3312.974,3.9052716,
3312.010,6.4441856,
3311.045,7.6920069,
3310.081,7.954596,
3309.117,7.3662844,
3308.153,6.0456877,
3307.188,4.2760029,
3306.224,3.7104018,
3305.260,5.8045952,
3304.296,7.8359555,
3303.332,7.7332282,
3302.367,7.2196451,
3301.403,6.9622482,
3300.439,6.9005302,
3299.475,7.002568,
3298.510,6.9616332,
3297.546,6.9868918,
3296.582,6.5875426,
3295.618,6.2272252,
3294.653,6.4217457,
3293.689,6.6662868,
3292.725,6.2417872,
3291.761,5.6492902,
3290.797,6.0257302,
3289.832,6.5611785,
3288.868,5.940972,
3287.904,5.6044794,
3286.940,6.3630761,
3285.975,6.1003939,
3285.011,4.3897342,
3284.047,3.6104272,
3283.083,4.1618956,
3282.118,4.4352691,
3281.154,4.2499726,
3280.190,4.570948,
3279.226,5.0865182,
3278.261,3.5586411,
3277.297,0.66981785,
3276.333,2.9872322E-5,
