,Nylon 66 Spectrum,
Raman shift [1/cm],Counts/sec,
3409.936,6.6224852,
3408.972,8.429077,
3408.007,7.9914061,
3407.043,6.5445554,
3406.079,4.2298338,
3405.115,1.8923826,
3404.150,0,
3403.186,2.8175191,
3402.222,8.0116255,
3401.258,8.4292181,
3400.293,7.2275236,
3399.329,5.4825919,
3398.365,5.012953,
3397.401,7.9337439,
3396.437,10.398114,
3395.472,9.5262778,
3394.508,8.0566634,
3393.544,7.1883673,
3392.580,9.9742704,
3391.615,16.278923,
3390.651,16.170906,
3389.687,12.797385,
3388.723,10.196594,
3387.758,9.0791037,
3386.794,10.182951,
3385.830,12.51573,
3384.866,13.938303,
3383.901,15.145592,
3382.937,16.215602,
3381.973,16.361905,
3381.009,15.002277,
3380.045,16.079561,
3379.080,20.297203,
3378.116,23.070411,
3377.152,24.221793,
3376.188,25.77398,
3375.223,27.611104,
3374.259,28.16749,
3373.295,27.724781,
3372.331,29.577847,
3371.366,32.24832,
3370.402,34.845063,
3369.438,37.628721,
3368.474,40.18108,
3367.510,40.984682,
3366.545,38.905423,
3365.581,38.499091,
3364.617,41.990244,
3363.653,47.102783,
3362.688,53.100134,
3361.724,55.888722,
3360.760,55.694572,
3359.796,57.599619,
3358.831,60.005856,
3357.867,60.901259,
3356.903,60.718678,
3355.939,59.933246,
3354.974,60.795808,
3354.010,68.030003,
3353.046,74.71805,
3352.082,75.228467,
3351.118,75.858924,
3350.153,78.170953,
3349.189,81.340572,
3348.225,85.537268,
3347.261,89.073075,
3346.296,92.022426,
3345.332,95.419073,
3344.368,99.558342,
3343.404,104.70983,
3342.439,110.51535,
3341.475,115.54095,
3340.511,119.70911,
3339.547,121.9997,
3338.583,123.91964,
3337.618,126.35224,
3336.654,130.20695,
3335.690,136.43147,
3334.726,144.25737,
3333.761,152.83734,
3332.797,159.18279,
3331.833,162.75831,
3330.869,168.57322,
3329.904,176.82422,
3328.940,182.60394,
3327.976,187.8813,
3327.012,196.26439,
3326.047,206.10647,
3325.083,214.59679,
3324.119,222.54432,
3323.155,231.84883,
3322.191,242.40362,
3321.226,254.13333,
3320.262,263.93302,
3319.298,269.85728,
3318.334,281.15522,
3317.369,299.74571,
3316.405,312.57118,
3315.441,318.85667,
3314.477,325.40166,
3313.512,333.34823,
3312.548,339.97918,
3311.584,346.64868,
3310.620,365.20706,
3309.656,388.32208,
3308.691,398.8887,
3307.727,408.80796,
3306.763,424.93229,
3305.799,443.17118,
3304.834,461.17991,
3303.870,481.90519,
3302.906,507.03593,
3301.942,532.70702,
3300.977,557.79924,
3300.013,586.31097,
3299.049,618.84228,
3298.085,639.86023,
3297.120,650.88568,
3296.156,662.95734,
3295.192,675.32965,
3294.228,686.30292,
3293.264,691.23988,
3292.299,679.95362,
3291.335,658.19764,
3290.371,642.80342,
3289.407,625.38307,
3288.442,602.27883,
3287.478,580.41091,
3286.514,563.09786,
3285.550,546.57638,
3284.585,529.55453,
3283.621,510.34698,
3282.657,488.47772,
3281.693,467.31464,
3280.729,448.73908,
3279.764,432.78587,
3278.800,419.33683,
3277.836,405.00508,
3276.872,389.17387,
3275.907,368.58003,
3274.943,348.69668,
3273.979,336.71227,
3273.015,328.44052,
3272.050,317.62817,
3271.086,304.97354,
3270.122,290.7551,
3269.158,277.77204,
3268.193,268.46262,
3267.229,258.23719,
3266.265,245.41868,
3265.301,233.83725,
3264.337,224.42911,
3263.372,218.72936,
3262.408,215.62342,
3261.444,209.21767,
3260.480,198.79176,
3259.515,190.36102,
3258.551,184.05133,
3257.587,175.37476,
3256.623,166.53098,
3255.658,162.39774,
3254.694,158.39255,
3253.730,150.93781,
3252.766,143.36026,
3251.802,138.83351,
3250.837,135.62062,
3249.873,131.80417,
3248.909,126.85326,
3247.945,120.02772,
3246.980,113.7593,
3246.016,108.95445,
3245.052,103.87632,
3244.088,98.315172,
3243.123,94.933743,
3242.159,93.587882,
3241.195,92.657647,
3240.231,91.437008,
3239.266,89.096693,
3238.302,85.549103,
3237.338,80.995791,
3236.374,75.462018,
3235.410,69.402511,
3234.445,64.890783,
3233.481,65.068459,
3232.517,65.789836,
3231.553,64.012384,
3230.588,61.665134,
3229.624,60.42301,
3228.660,59.464089,
3227.696,58.338397,
3226.731,57.154279,
3225.767,56.342159,
3224.803,55.026232,
3223.839,52.984009,
3222.875,50.846549,
3221.910,48.722856,
3220.946,47.961372,
3219.982,47.940367,
3219.018,46.027688,
3218.053,42.433097,
3217.089,39.423273,
3216.125,36.970722,
3215.161,36.410166,
3214.196,36.557007,
3213.232,35.795547,
3212.268,34.813116,
3211.304,33.385858,
3210.339,32.769736,
3209.375,34.501952,
3208.411,35.525771,
3207.447,33.059989,
3206.483,31.43454,
3205.518,32.941145,
3204.554,33.725266,
3203.590,32.904065,
3202.626,32.755252,
3201.661,32.832586,
3200.697,31.335604,
3199.733,28.723241,
3198.769,25.33805,
3197.804,22.010134,
3196.840,21.439079,
3195.876,23.205231,
3194.912,24.829806,
3193.948,26.44176,
3192.983,23.294094,
3192.019,18.412003,
3191.055,15.03382,
3190.091,13.259347,
3189.126,14.216588,
3188.162,16.447242,
3187.198,18.206265,
3186.234,18.833062,
3185.269,17.120478,
3184.305,15.103769,
3183.341,14.127856,
3182.377,13.59562,
3181.412,13.57061,
3180.448,11.632392,
3179.484,7.5866546,
3178.520,7.2953361,
3177.556,10.500502,
3176.591,11.425126,
3175.627,9.7816101,
3174.663,10.92618,
3173.699,14.232494,
3172.734,13.992372,
3171.770,11.557596,
3170.806,9.0666435,
3169.842,6.5519852,
3168.877,5.2009255,
3167.913,5.5023071,
