,PET spectra,
Raman shift [1/cm],Counts/sec,
3409.936,-13.719271,
3408.972,-11.714583,
3408.007,-10.489453,
3407.043,-7.7040362,
3406.079,-3.7983072,
3405.115,-0.3217448,
3404.150,1.3388021,
3403.186,-3.815625,
3402.222,-11.794922,
3401.258,-9.536068,
3400.293,-3.6764324,
3399.329,1.6277344,
3398.365,5.7647138,
3397.401,7.3313804,
3396.437,4.0688801,
3395.472,-4.5842447,
3394.508,-8.1768227,
3393.544,-0.87317711,
3392.580,3.835547,
3391.615,3.7158854,
3390.651,4.9822917,
3389.687,5.9957032,
3388.723,4.6483073,
3387.758,4.4680991,
3386.794,10.808073,
3385.830,17.690365,
3384.866,11.067839,
3383.901,3.8813803,
3382.937,7.9356771,
3381.973,10.610156,
3381.009,6.9208331,
3380.045,4.6002603,
3379.080,5.0483074,
3378.116,9.124609,
3377.152,15.504167,
3376.188,17.113802,
3375.223,14.147265,
3374.259,14.45638,
3373.295,16.025,
3372.331,15.509766,
3371.366,14.875781,
3370.402,15.425,
3369.438,16.199739,
3368.474,15.61888,
3367.510,14.072786,
3366.545,12.006771,
3365.581,11.994532,
3364.617,15.327604,
3363.653,16.810156,
3362.688,15.085026,
3361.724,17.780079,
3360.760,23.036589,
3359.796,25.08086,
3358.831,26.075911,
3357.867,24.833073,
3356.903,22.248047,
3355.939,19.216927,
3354.974,17.575911,
3354.010,22.78828,
3353.046,27.88776,
3352.082,26.710546,
3351.118,26.779297,
3350.153,29.949089,
3349.189,30.980339,
3348.225,29.927996,
3347.261,26.95026,
3346.296,23.15638,
3345.332,22.358984,
3344.368,24.728516,
3343.404,27.738411,
3342.439,30.938932,
3341.475,32.429688,
3340.511,32.456642,
3339.547,30.414713,
3338.583,30.882162,
3337.618,37.310024,
3336.654,41.288933,
3335.690,36.879688,
3334.726,33.486851,
3333.761,34.452602,
3332.797,37.746094,
3331.833,43.464062,
3330.869,43.525913,
3329.904,39.344402,
3328.940,38.834373,
3327.976,38.54961,
3327.012,38.811718,
3326.047,40.120182,
3325.083,42.592319,
3324.119,45.807163,
3323.155,49.845703,
3322.191,49.438412,
3321.226,36.677994,
3320.262,30.954166,
3319.298,43.586067,
3318.334,49.797134,
3317.369,46.214844,
3316.405,42.552212,
3315.441,39.905598,
3314.477,41.276302,
3313.512,46.410286,
3312.548,46.945702,
3311.584,42.983852,
3310.620,45.158463,
3309.656,49.046352,
3308.691,45.664192,
3307.727,41.452343,
3306.763,39.281902,
3305.799,38.971615,
3304.834,41.092838,
3303.870,42.729298,
3302.906,41.386066,
3301.942,40.428905,
3300.977,42.395832,
3300.013,45.430599,
3299.049,48.782551,
3298.085,49.928905,
3297.120,48.472267,
3296.156,47.060417,
3295.192,46.223698,
3294.228,45.519791,
3293.264,45.358204,
3292.299,46.807941,
3291.335,48.673306,
3290.371,47.556511,
3289.407,45.311588,
3288.442,44.412632,
3287.478,44.929947,
3286.514,46.996876,
3285.550,48.865234,
3284.585,49.676041,
3283.621,50.620834,
3282.657,51.446095,
3281.693,50.605858,
3280.729,48.884377,
3279.764,50.121353,
3278.800,54.313801,
3277.836,54.314583,
3276.872,51.830467,
3275.907,54.08672,
3274.943,57.215233,
3273.979,54.776302,
3273.015,49.807941,
3272.050,47.539322,
3271.086,46.696095,
3270.122,46.78698,
3269.158,47.508984,
3268.193,47.347527,
3267.229,49.514194,
3266.265,55.415493,
3265.301,59.813282,
3264.337,61.752083,
3263.372,58.709507,
3262.408,52.077213,
3261.444,49.177082,
3260.480,50.459637,
3259.515,51.381382,
3258.551,52.722786,
3257.587,55.705338,
3256.623,59.402084,
3255.658,58.001041,
3254.694,54.99453,
3253.730,54.532944,
3252.766,57.320442,
3251.802,63.959244,
3250.837,68.251434,
3249.873,62.51276,
3248.909,58.147915,
3247.945,63.295704,
3246.980,65.680862,
3246.016,61.159634,
3245.052,57.991405,
3244.088,56.147396,
3243.123,59.779556,
3242.159,67.362236,
3241.195,70.725128,
3240.231,69.70182,
3239.266,70.833855,
3238.302,72.945961,
3237.338,67.776299,
3236.374,60.188282,
3235.410,66.43737,
3234.445,75.750259,
3233.481,78.052605,
3232.517,78.172783,
3231.553,79.706642,
3230.588,82.658981,
3229.624,87.219269,
3228.660,93.180992,
3227.696,99.314453,
3226.731,101.21862,
3225.767,97.860283,
3224.803,99.124092,
3223.839,105.80338,
3222.875,107.3513,
3221.910,104.22747,
3220.946,102.21042,
3219.982,101.36446,
3219.018,99.041145,
3218.053,95.309242,
3217.089,91.14167,
3216.125,87.305466,
3215.161,91.082809,
3214.196,96.085938,
3213.232,92.621223,
3212.268,88.030991,
3211.304,85.384766,
3210.339,83.761848,
3209.375,83.890625,
3208.411,82.373566,
3207.447,75.754425,
3206.483,71.226433,
3205.518,73.087242,
3204.554,76.393623,
3203.590,80.729164,
3202.626,80.379684,
3201.661,73.805206,
3200.697,70.585678,
3199.733,72.01667,
3198.769,75.995575,
3197.804,80.238411,
3196.840,79.86393,
3195.876,74.67878,
3194.912,71.220703,
3193.948,70.418358,
3192.983,69.241013,
3192.019,68.567451,
3191.055,70.977341,
3190.091,74.549088,
3189.126,78.026695,
3188.162,77.930206,
3187.198,69.530342,
3186.234,60.667057,
3185.269,59.332161,
3184.305,62.147137,
3183.341,69.513802,
3182.377,74.694794,
3181.412,75.455727,
3180.448,74.063934,
3179.484,70.402603,
3178.520,70.938675,
3177.556,75.8582,
3176.591,78.224869,
3175.627,77.061722,
3174.663,76.739845,
3173.699,76.085419,
3172.734,74.373825,
3171.770,73.388672,
3170.806,74.418098,
3169.842,75.25,
3168.877,71.26667,
3167.913,67.624611,
3166.949,73.072395,
3165.985,81.712372,
3165.020,81.226303,
3164.056,77.112892,
3163.092,75.590889,
3162.128,74.214714,
3161.164,74.761978,
3160.199,76.40065,
3159.235,79.603645,
3158.271,81.01992,
3157.307,79.746613,
3156.342,82.326691,
3155.378,88.450653,
3154.414,91.569138,
3153.450,90.173569,
3152.485,87.528122,
3151.521,85.239456,
3150.557,88.636978,
3149.593,96.144791,
3148.629,94.789322,
3147.664,90.332939,
3146.700,90.917061,
3145.736,93.506767,
3144.772,91.746223,
3143.807,88.991013,
3142.843,92.731903,
3141.879,97.682686,
3140.915,94.073174,
3139.950,90.231903,
3138.986,94.271355,
3138.022,97.670441,
3137.058,94.294533,
3136.093,88.891144,
3135.129,85.23008,
3134.165,83.918098,
3133.201,85.040497,
3132.237,87.410416,
3131.272,89.452477,
3130.308,89.61927,
3129.344,89.276955,
