,PP spectrum,
Raman shift [1/cm],Counts/sec,
3409.936,-20.532553,
3408.972,-21.043751,
3408.007,-17.851301,
3407.043,-15.131511,
3406.079,-15.801823,
3405.115,-16.874479,
3404.150,-19.095312,
3403.186,-17.094791,
3402.222,-12.79401,
3401.258,-11.936198,
3400.293,-9.5481768,
3399.329,-3.1302083,
3398.365,1.0276042,
3397.401,-4.0539064,
3396.437,-7.3304687,
3395.472,-0.27682292,
3394.508,6.971354,
3393.544,12.948698,
3392.580,15.15599,
3391.615,9.6773434,
3390.651,16.139843,
3389.687,24.437761,
3388.723,15.941927,
3387.758,3.0424478,
3386.794,6.6356769,
3385.830,17.785938,
3384.866,17.785938,
3383.901,16.327604,
3382.937,19.802864,
3381.973,24.313541,
3381.009,27.98073,
3380.045,25.856771,
3379.080,17.129427,
3378.116,16.013021,
3377.152,24.518229,
3376.188,35.828125,
3375.223,46.376041,
3374.259,48.410416,
3373.295,41.357033,
3372.331,39.053905,
3371.366,39.274479,
3370.402,44.251823,
3369.438,52.44479,
3368.474,60.093227,
3367.510,61.555988,
3366.545,52.417969,
3365.581,47.584637,
3364.617,54.245571,
3363.653,61.743488,
3362.688,66.691925,
3361.724,67.936722,
3360.760,63.914585,
3359.796,72.142448,
3358.831,86.259377,
3357.867,93.184372,
3356.903,91.972916,
3355.939,79.439842,
3354.974,62.46146,
3354.010,59.22448,
3353.046,61.225262,
3352.082,63.86797,
3351.118,69.629166,
3350.153,78.049217,
3349.189,80.590622,
3348.225,78.50547,
3347.261,80.012764,
3346.296,83.998695,
3345.332,84.356773,
3344.368,82.666924,
3343.404,87.04792,
3342.439,94.726044,
3341.475,96.776299,
3340.511,96.480988,
3339.547,95.522919,
3338.583,94.412239,
3337.618,93.932549,
3336.654,98.324738,
3335.690,110.34427,
3334.726,116.35989,
3333.761,109.77239,
3332.797,102.88177,
3331.833,100.49114,
3330.869,95.610939,
3329.904,91.449738,
3328.940,95.505211,
3327.976,100.67864,
3327.012,105.51979,
3326.047,108.90625,
3325.083,106.97656,
3324.119,106.47787,
3323.155,124.2013,
3322.191,138.30989,
3321.226,123.65234,
3320.262,113.78464,
3319.298,125.24062,
3318.334,127.1388,
3317.369,116.51432,
3316.405,119.73438,
3315.441,133.61823,
3314.477,143.26718,
3313.512,148.14922,
3312.548,149.60651,
3311.584,145.86406,
3310.620,142.74297,
3309.656,140.03177,
3308.691,138.7487,
3307.727,140.30963,
3306.763,143.61589,
3305.799,147.08958,
3304.834,149.79401,
3303.870,149.96745,
3302.906,145.68124,
3301.942,139.41562,
3300.977,136.2164,
3300.013,143.77708,
3299.049,163.21172,
3298.085,166.75365,
3297.120,157.03334,
3296.156,158.21901,
3295.192,165.15312,
3294.228,162.90938,
3293.264,156.99271,
3292.299,163.40651,
3291.335,175.45209,
3290.371,175.19818,
3289.407,170.62032,
3288.442,168.71407,
3287.478,168.89635,
3286.514,171.03438,
3285.550,175.01797,
3284.585,180.46536,
3283.621,181.88281,
3282.657,177.35052,
3281.693,174.91042,
3280.729,178.43594,
3279.764,180.28932,
3278.800,180.08333,
3277.836,184.91432,
3276.872,188.88542,
3275.907,185.95833,
3274.943,184.05704,
3273.979,189.01744,
3273.015,194.57083,
3272.050,192.5862,
3271.086,188.25313,
3270.122,191.29636,
3269.158,193.80208,
3268.193,187.77214,
3267.229,184.68698,
3266.265,188.78751,
3265.301,194.70287,
3264.337,202.07474,
3263.372,201.30963,
3262.408,192.64218,
3261.444,184.62135,
3260.480,179.03932,
3259.515,181.97447,
3258.551,193.96016,
3257.587,195.62682,
3256.623,194.20287,
3255.658,195.5573,
3254.694,196.86615,
3253.730,202.18515,
3252.766,211.46797,
3251.802,223.12239,
3250.837,231.1935,
3249.873,227.78099,
3248.909,223.07761,
3247.945,225.97995,
3246.980,232.42839,
3246.016,242.05782,
3245.052,244.47578,
3244.088,237.17708,
3243.123,232.31511,
3242.159,231.87318,
3241.195,234.21953,
3240.231,237.39635,
3239.266,237.91745,
3238.302,236.32683,
3237.338,237.59453,
3236.374,241.16171,
3235.410,246.07916,
3234.445,251.8875,
3233.481,252.38359,
3232.517,249.9276,
3231.553,248.61641,
3230.588,251.82109,
3229.624,262.93387,
3228.660,272.55832,
3227.696,272.12839,
3226.731,271.79871,
3225.767,279.62604,
3224.803,283.30573,
3223.839,280.44894,
3222.875,282.60236,
3221.910,287.45444,
3220.946,290.11511,
3219.982,291.60651,
3219.018,294.92941,
