,PVC Spectrum,
Raman shift [1/cm],Counts/sec,
3408.971,4.2396483,
3408.007,4.9023438,
3407.043,5.4297851,
3406.079,5.2672364,
3405.115,3.936377,
3404.150,1.4139161,
3403.186,0.16440439,
3402.222,0,
3401.258,1.8097468,
3400.293,4.0430772,
3399.329,4.8374919,
3398.365,4.6525608,
3397.401,3.7638211,
3396.436,3.744051,
3395.472,5.6728407,
3394.508,5.6429633,
3393.544,2.3515871,
3392.579,3.1291314,
3391.615,8.0846055,
3390.651,6.7115153,
3389.687,2.5686742,
3388.723,0.9136989,
3387.758,1.2356036,
3386.794,1.8630261,
3385.830,2.7260199,
3384.866,3.8585449,
3383.901,4.2987847,
3382.937,2.7440539,
3381.973,2.0963543,
3381.009,3.6461887,
3380.044,4.0359891,
3379.080,2.7522541,
3378.116,2.7185437,
3377.152,4.1547797,
3376.188,5.5375,
3375.223,6.3951714,
3374.259,6.1395616,
3373.295,4.5419108,
3372.331,2.0483372,
3371.366,0.3397978,
3370.402,2.6828623,
3369.438,4.6462882,
3368.474,3.2016331,
3367.509,1.6909867,
3366.545,2.4982059,
3365.581,3.821011,
3364.617,5.1651543,
3363.652,5.5826617,
3362.688,4.7224592,
3361.724,5.03003,
3360.760,6.0732943,
3359.796,7.2222958,
3358.831,8.2404624,
3357.867,7.5833848,
3356.903,6.1908825,
3355.939,5.3795568,
3354.974,4.6963807,
3354.010,4.0266079,
3353.046,3.670336,
3352.082,3.6409928,
3351.117,3.6913859,
3350.153,3.6581854,
3349.189,3.6728608,
3348.225,4.0035517,
3347.260,5.1994283,
3346.296,6.6629318,
3345.332,6.3387644,
3344.368,4.6426243,
3343.404,4.3481688,
3342.439,4.966189,
3341.475,5.0487599,
3340.511,5.1292311,
3339.547,5.5296731,
3338.582,5.6028934,
3337.618,4.9127103,
3336.654,4.2068535,
3335.690,4.0038776,
3334.725,4.1762432,
3333.761,4.7370857,
3332.797,6.0380404,
3331.833,8.1364804,
3330.869,7.8122641,
3329.904,5.5891466,
3328.940,7.3181774,
3327.976,9.172599,
3327.012,6.2513368,
3326.047,2.4493374,
3325.083,3.6809773,
3324.119,6.9777784,
3323.155,6.9372016,
3322.190,6.1166443,
3321.226,5.5425714,
3320.262,6.721892,
3319.298,11.103751,
3318.333,11.103165,
3317.369,5.494473,
3316.405,3.1288231,
3315.441,4.106459,
3314.477,4.5275277,
3313.512,4.2411745,
3312.548,4.6335566,
3311.584,5.6361195,
3310.620,7.9058942,
3309.655,10.369517,
3308.691,9.5343108,
3307.727,8.0882653,
3306.763,7.5091875,
3305.798,7.3186595,
3304.834,7.3959294,
3303.870,7.5068174,
3302.906,7.249761,
3301.942,5.8567917,
3300.977,3.2704141,
3300.013,2.6531282,
3299.049,4.68511,
3298.085,5.5520039,
3297.120,5.5613294,
3296.156,6.3040533,
3295.192,7.1608154,
3294.228,6.2852044,
3293.263,5.0274645,
3292.299,6.9019755,
3291.335,10.136643,
3290.371,9.7172086,
3289.406,8.2067588,
3288.442,7.3131057,
3287.478,6.6712106,
3286.514,6.3598817,
3285.550,7.2059749,
3284.585,9.5347096,
3283.621,10.108195,
3282.657,7.8936682,
3281.693,5.3699371,
3280.728,3.6324608,
3279.764,3.3032853,
3278.800,4.3893443,
3277.836,4.721326,
3276.871,4.4341184,
3275.907,3.601525,
3274.943,3.4873397,
3273.979,5.7721779,
3273.015,8.234311,
3272.050,7.5920741,
3271.086,5.7404865,
3270.122,5.7127271,
3269.158,6.6520086,
3268.193,8.524054,
